time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-10 00:00:00+00:00,11,5,0,0
2023-08-11 00:00:00+00:00,3,3,0,0
2023-08-12 00:00:00+00:00,1,1,0,0
2023-08-14 00:00:00+00:00,1,1,0,0
2023-08-17 00:00:00+00:00,2,2,0,0
2023-08-18 00:00:00+00:00,4,3,0,0
2023-08-19 00:00:00+00:00,9,6,0,0
2023-08-20 00:00:00+00:00,4,3,0,0
2023-08-21 00:00:00+00:00,4,3,0,0
2023-08-22 00:00:00+00:00,4,3,0,0
2023-08-23 00:00:00+00:00,7,4,0,0
2023-08-24 00:00:00+00:00,4,3,0,0
2023-08-25 00:00:00+00:00,5,4,0,0
2023-08-26 00:00:00+00:00,4,3,0,0
2023-08-27 00:00:00+00:00,4,3,0,0
2023-08-28 00:00:00+00:00,5,4,0,0
2023-08-29 00:00:00+00:00,3,2,0,0
2023-08-30 00:00:00+00:00,4,3,0,0
2023-08-31 00:00:00+00:00,3,2,0,0
2023-09-01 00:00:00+00:00,4,3,0,0
2023-09-02 00:00:00+00:00,3,2,0,0
2023-09-03 00:00:00+00:00,3,2,0,0
2023-09-04 00:00:00+00:00,4,3,0,0
2023-09-05 00:00:00+00:00,3,2,0,0
2023-09-06 00:00:00+00:00,3,2,0,0
2023-09-07 00:00:00+00:00,4,3,1,1
2023-09-08 00:00:00+00:00,3,2,0,0
2023-09-09 00:00:00+00:00,3,2,0,0
2023-09-10 00:00:00+00:00,3,2,0,0
2023-09-11 00:00:00+00:00,2,2,0,0
2023-09-12 00:00:00+00:00,3,2,0,0
2023-09-13 00:00:00+00:00,5,3,0,0
2023-09-14 00:00:00+00:00,4,3,0,0
2023-09-15 00:00:00+00:00,4,3,0,0
2023-09-16 00:00:00+00:00,5,4,0,0
2023-09-17 00:00:00+00:00,5,4,0,0
2023-09-18 00:00:00+00:00,6,4,0,0
2023-09-19 00:00:00+00:00,3,2,0,0
2023-09-20 00:00:00+00:00,2,2,0,0
2023-09-21 00:00:00+00:00,1,1,0,0
2023-09-22 00:00:00+00:00,1,1,0,0
2023-09-23 00:00:00+00:00,1,1,0,0
2023-09-24 00:00:00+00:00,3,2,0,0
2023-09-25 00:00:00+00:00,5,4,16,1
2023-09-26 00:00:00+00:00,2,2,0,0
2023-09-27 00:00:00+00:00,1,1,0,0
2023-09-28 00:00:00+00:00,6,4,0,0
2023-09-29 00:00:00+00:00,1,1,0,0
2023-09-30 00:00:00+00:00,3,3,0,0
2023-10-01 00:00:00+00:00,1,1,0,0
2023-10-02 00:00:00+00:00,3,3,0,0
2023-10-03 00:00:00+00:00,1,1,0,0
2023-10-04 00:00:00+00:00,2,2,0,0
2023-10-05 00:00:00+00:00,1,1,0,0
2023-10-06 00:00:00+00:00,2,2,0,0
2023-10-07 00:00:00+00:00,2,2,0,0
2023-10-08 00:00:00+00:00,1,1,0,0
2023-10-09 00:00:00+00:00,4,4,0,0
2023-10-10 00:00:00+00:00,3,2,0,0
2023-10-11 00:00:00+00:00,1,1,0,0
2023-10-12 00:00:00+00:00,1,1,0,0
2023-10-13 00:00:00+00:00,1,1,0,0
2023-10-14 00:00:00+00:00,1,1,0,0
2023-10-15 00:00:00+00:00,1,1,0,0
2023-10-16 00:00:00+00:00,2,2,0,0
2023-10-17 00:00:00+00:00,1,1,0,0
2023-10-18 00:00:00+00:00,2,2,0,0
2023-10-19 00:00:00+00:00,0,0,23,1
